index,cell_type,category,target_cell_type,general_cell_type,parental_cell_type,donor_tissue,CellType,Treatment,progenitor cell type,Comment,SRR_accession,QC_summary,SRX_accession,SRS_accession,SRP_accession,GSE_accession,Sample_name,Library_name,SampleName,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
1,RPE,standard,NA,RPE,NA,,RPE,control,,untreated,SRR1783834,PASS,SRX955743,SRS873539,SRP053034,"Quiescent RPE-1 cells, untreated",,,"Quiescent RPE-1 cells, untreated",2015-02-04 13:46:25,2015-02-04 13:39:37,43701884,8827780568,43701884,202,4764,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1783834/SRR1783834.1,,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP053034,PRJNA274213,NA,274213,SRS873539,SAMN03406650,simple,9606,Homo sapiens,,,,,female,,no,,,,,ERASMUS MC,SRA236027,,public,516B722E1344C6B6B9AD1BB7520FC11B,AE721A0DB8B7A13928C1CCB280CC0D7A
2,RPE,standard,NA,RPE,NA,,RPE,control,,untreated,SRR1783835,PASS,SRX955743,SRS873539,SRP053034,"Quiescent RPE-1 cells, untreated",,,"Quiescent RPE-1 cells, untreated",2015-02-04 13:45:42,2015-02-04 13:40:21,43450506,8777002212,43450506,202,4727,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1783835/SRR1783835.1,,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP053034,PRJNA274213,NA,274213,SRS873539,SAMN03406650,simple,9606,Homo sapiens,,,,,female,,no,,,,,ERASMUS MC,SRA236027,,public,D4A77BB9E4135A95AA331D582B50F396,203771E83F6DFFB7CC55B190EF371F71
3,RPE,standard,NA,RPE,NA,,RPE,treated,,treatment:irridation,SRR1783836,PASS,SRX955744,SRS873540,SRP053034,"Quiescent RPE-1 cells , irradiated with 20 J/cm2 UV-C, 6 hrs post-irradiation",,,"Quiescent RPE-1 cells , irradiated with 20 J/cm2 UV-C, 6 hrs post-irradiation",2015-02-04 14:11:38,2015-02-04 14:04:30,43157100,8717734200,43157100,202,4673,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1783836/SRR1783836.1,,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP053034,PRJNA274213,NA,274213,SRS873540,SAMN03406652,simple,9606,Homo sapiens,,,,,female,,no,,,,,ERASMUS MC,SRA236027,,public,64F5D3C6E6720645908D1A8AE2CB14F8,E5C8A7094480F4D7FD7CCB98E1BFD2DB
4,RPE,standard,NA,RPE,NA,,RPE,treated,,treatment:irridation,SRR1783837,PASS,SRX955744,SRS873540,SRP053034,"Quiescent RPE-1 cells , irradiated with 20 J/cm2 UV-C, 6 hrs post-irradiation",,,"Quiescent RPE-1 cells , irradiated with 20 J/cm2 UV-C, 6 hrs post-irradiation",2015-02-04 13:42:22,2015-02-04 13:38:08,43020166,8690073532,43020166,202,4691,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1783837/SRR1783837.1,,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP053034,PRJNA274213,NA,274213,SRS873540,SAMN03406652,simple,9606,Homo sapiens,,,,,female,,no,,,,,ERASMUS MC,SRA236027,,public,019F1AD0A7418FFF8EF8013E9893EE00,E4C4E5A7901151C250340EE11889E618
5,RPE,standard,NA,RPE,NA,,RPE,treated,,treatment:irridation; treatment: ATM inhibitor,SRR1783838,PASS,SRX955745,SRS873541,SRP053034,"Quiescent RPE-1 cells, treated with 0.01mM ATM inhibitor and irradiated with 20J/cm^2 UV-C",,,"Quiescent RPE-1 cells, treated with 0.01mM ATM inhibitor and irradiated with 20J/cm^2 UV-C",2015-02-04 13:45:42,2015-02-04 13:39:42,43034148,8692897896,43034148,202,4668,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1783838/SRR1783838.1,,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP053034,PRJNA274213,NA,274213,SRS873541,SAMN03406653,simple,9606,Homo sapiens,,,,,female,,no,,,,,ERASMUS MC,SRA236027,,public,B867D10BCDD2E4B5185F48DAD9F34238,C62D0DFF8EF4BD309C913BBBFEDA0BEA
6,RPE,standard,NA,RPE,NA,,RPE,treated,,treatment:irridation; treatment: ATM inhibitor,SRR1783839,PASS,SRX955745,SRS873541,SRP053034,"Quiescent RPE-1 cells, treated with 0.01mM ATM inhibitor and irradiated with 20J/cm^2 UV-C",,,"Quiescent RPE-1 cells, treated with 0.01mM ATM inhibitor and irradiated with 20J/cm^2 UV-C",2015-02-04 13:45:42,2015-02-04 13:40:04,42398680,8564533360,42398680,202,4607,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1783839/SRR1783839.1,,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP053034,PRJNA274213,NA,274213,SRS873541,SAMN03406653,simple,9606,Homo sapiens,,,,,female,,no,,,,,ERASMUS MC,SRA236027,,public,C2A4890CB5BA2EC37143E2DA4437657D,6921DCC1FCAA5BD360220F970022C1DA
7,ESC,standard,NA,ESC,NA,,ESC,control,,,ERR296095,PASS,ERX269432,ERS252028,ERP003259,SAMEA2078456,,hESCs_control_RNA_Rep2,SAMEA2078456,2013-09-10 06:03:54,2013-08-31 03:43:56,36698692,5578201184,36698692,152,3292,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296095/ERR296095.1,hESCs_control_RNA_Rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP003259,PRJEB4007,NA,217815,ERS252028,SAMEA2078456,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA223775,,public,7A5DB6DE95BB690A2221A22DE08E4238,7E8658D16EFD6126A7CA71F13B16948E
8,ESC,standard,NA,ESC,NA,,ESC,treated,,,ERR296096,PASS,ERX269436,ERS252028,ERP003259,SAMEA2078456,,hESCs_SONknockdown_RNA_Rep1,SAMEA2078456,2013-09-10 06:03:54,2013-08-31 03:42:36,22022902,3347481104,22022902,152,2163,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296096/ERR296096.1,hESCs_SONknockdown_RNA_Rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP003259,PRJEB4007,NA,217815,ERS252028,SAMEA2078456,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA223775,,public,AD3CCC72960FB449768DD78E1AF5EC9D,19688ADA7FC01B9CED6953F32D970C52
9,ESC,standard,NA,ESC,NA,,ESC,treated,,,ERR296097,PASS,ERX269434,ERS252028,ERP003259,SAMEA2078456,,hESCs_SONknockdown_RNA_Rep2,SAMEA2078456,2013-09-10 06:03:54,2013-08-31 03:42:48,26013125,3953995000,26013125,152,2524,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296097/ERR296097.1,hESCs_SONknockdown_RNA_Rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP003259,PRJEB4007,NA,217815,ERS252028,SAMEA2078456,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA223775,,public,CEB476B9AFCD2431EC261A325504CAA6,81D941025FABB87F8D07BBA09AD9B1A4
10,ESC,standard,NA,ESC,NA,,ESC,treated,,,ERR296098,PASS,ERX269429,ERS252028,ERP003259,SAMEA2078456,,hESCs_SONknockdown_RNA_Rep2,SAMEA2078456,2013-09-10 06:03:54,2013-08-31 03:44:41,38127028,5795308256,38127028,152,3433,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296098/ERR296098.1,hESCs_SONknockdown_RNA_Rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP003259,PRJEB4007,NA,217815,ERS252028,SAMEA2078456,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA223775,,public,072F5356B79B226813902FACC8D40836,580A5D921935FD8FB6A42670C980997C
